ID,Titre,Université,Pays,Niveau(x),Domaines d'étude,Catégorie,Type de financement,Montant,Devise,Date limite,Statut,Nationalité éligible,GPA minimum,Test de langue,Score minimum,Limite d'âge,Expérience requise,Lien de candidature,Score popularité,Score difficulté
SCH001,Fulbright Foreign Student Program,Various US Universities,USA,Master | PhD,All Fields,Government,full_funded,35000,USD,10/15/2025,open,Non-US citizens,3,TOEFL,80,Aucune,Non,https://foreign.fulbrightonline.org,95,88
SCH002,Chevening Scholarships,Various UK Universities,UK,Master,All Fields,Government,full_funded,28000,GBP,11/5/2025,open,Citizens of Chevening-eligible countries,3,IELTS,6.5,Aucune,Oui,https://www.chevening.org/apply,92,85
SCH003,DAAD Scholarships for Foreign Students,Various German Universities,Germany,Master | PhD,Engineering | Natural Sciences | Social Sciences | Arts,Government,full_funded,1200,EUR/month,10/31/2025,open,All nationalities,2.8,IELTS or TestDaF,6,32,Non,https://www.daad.de/en/study-and-research-in-germany/scholarships,89,75
SCH004,Erasmus+ Scholarship,Partner Universities across Europe,European Union,Licence | Master | PhD,All Fields,International,partial,800,EUR/month,1/15/2026,open,EU and partner country students,2.5,None,N/A,Aucune,Non,https://erasmus-plus.ec.europa.eu,91,55
SCH005,Australia Awards Scholarships,Various Australian Universities,Australia,Master | PhD,Development | Public Policy | Business | Agriculture,Government,full_funded,45000,AUD,9/30/2025,open,Citizens of eligible Indo-Pacific countries,3,IELTS,6.5,Aucune,Oui,https://www.australiaawards.gov.au,82,80
SCH006,Vanier Canada Graduate Scholarships,Canadian Universities,Canada,PhD,Health Sciences | Natural Sciences | Engineering | Social Sciences | Humanities,Government,full_funded,50000,CAD,11/1/2025,open,Canadian and international students,3.7,IELTS or TOEFL,7,Aucune,Oui,https://vanier.gc.ca/en/home-accueil.html,80,92
SCH007,Campus France Eiffel Excellence Scholarship,French Grandes Écoles & Universities,France,Master | PhD,Engineering | Law | Economics | Political Science,Government,full_funded,1181,EUR/month,1/12/2026,open,Non-French citizens under 30,3.2,DELF or IELTS,6,30,Non,https://www.campusfrance.org/en/eiffel-scholarship-program-of-excellence,84,78
SCH008,Turkish Government Scholarship (Türkiye Bursları),Various Turkish Universities,Turkey,Licence | Master | PhD,All Fields,Government,full_funded,800,TRY/month,2/20/2026,open,Non-Turkish citizens,2.5,None,N/A,30,Non,https://www.turkiyeburslari.gov.tr,87,60
SCH009,Gates Cambridge Scholarship,University of Cambridge,UK,Master | PhD,All Fields,University,full_funded,21000,GBP,10/8/2025,open,Non-UK citizens,3.8,IELTS,7.5,Aucune,Oui,https://www.gatescambridge.org,97,98
SCH010,Rhodes Scholarship – University of Oxford,University of Oxford,UK,Master | PhD,All Fields,University,full_funded,20000,GBP,9/25/2025,open,Citizens of Rhodes-eligible countries,3.8,IELTS,7.5,25,Oui,https://www.rhodeshouse.ox.ac.uk/scholarships,98,99
SCH011,MEXT Japanese Government Scholarship,Various Japanese Universities,Japan,Licence | Master | PhD,All Fields,Government,full_funded,143000,JPY/month,5/15/2026,open,Non-Japanese citizens,2.8,JLPT or None,N/A,35,Non,https://www.mext.go.jp/en/policy/education/highered/title02/detail02/sdetail02/1373897.htm,85,70
